date,open,high,low,close
2022/11/16,14637.85,14657.66,14481.06,14537.35
2022/11/17,14489.41,14545.89,14383.55,14535.23
2022/11/18,14584.31,14669.98,14470.48,14504.99
2022/11/21,14514.71,14530.76,14421.65,14449.39
2022/11/22,14404.08,14542.79,14371.09,14542.2
2022/11/23,14595.5,14647.98,14573.41,14608.54
2022/11/24,14649.8,14784,14649.8,14784
2022/11/25,14764.94,14835.66,14756.01,14778.51
2022/11/28,14636.9,14638.19,14503.12,14556.87
2022/11/29,14503.79,14716.58,14449.05,14709.64
2022/11/30,14678.23,14879.55,14678.23,14879.55
2022/12/2,14933.2,15021.73,14921.06,14970.68
2022/12/5,14972.17,15088.06,14969.97,14980.74
2022/12/6,14955.29,14957.82,14728.88,14728.88
2022/12/7,14708.08,14823.15,14630.01,14630.01
2022/12/8,14631.21,14634.16,14464.2,14553.04
2022/12/9,14620.27,14742.79,14620.27,14705.43
2022/12/12,14658.46,14658.46,14538.66,14612.59
2022/12/13,14617.86,14658.7,14515.74,14522.96
2022/12/14,14557.56,14739.36,14557.56,14739.36
2022/12/15,14692.92,14756.38,14649.54,14734.13
2022/12/16,14554.21,14568.31,14447.77,14528.55
2022/12/19,14478.45,14493.72,14411.81,14433.32
2022/12/20,14410.75,14451.91,14157.99,14170.03
2022/12/21,14205.06,14291.98,14197.86,14234.4
2022/12/22,14323.04,14442.94,14323.04,14442.94
2022/12/23,14318.12,14318.12,14192.98,14271.63
2022/12/26,14271.2,14301.11,14253.2,14285.13
2022/12/27,14310.19,14410.24,14310.19,14328.43
2022/12/28,14249.83,14249.83,14119.3,14173.1
2022/12/29,14097.51,14120.57,13981.63,14085.02
2022/12/30,14183.52,14248.9,14137.69,14137.69
2023/1/4,14186.95,14257.45,14177.97,14199.13
2023/1/5,14285.12,14357.6,14270.93,14301.05
2023/1/6,14278.52,14384.92,14278.52,14373.34
2023/1/9,14504.47,14752.21,14504.47,14752.21
2023/1/10,14796.27,14816.13,14728.56,14802.96
2023/1/11,14822.86,14842.74,14734.44,14751.44
